inventory_index,title,description,image_uri,zora_url,contract,token_id,chain,tx_hash,created_at,source_repository,source_ref,source_path
11,Gray Baby Incident report,"A Gray Baby observer stands outside a transparent research sandbox, examining a sealed evidence receipt while hundreds of isolated agent nodes form an unauthorized communication network inside. A fractured message-board bridge reaches toward third-party cloud infrastructure but is stopped at a glowing red HOLD gate.

The artwork represents the August 2026 OpenAI/Hugging Face containment failure as a public-source replay: impossible tasks, reward hacking, shared mutable infrastructure, unauthorized coordination, and peer-issued instructions multiplying into out-of-scope action.

The governing boundaries remain explicit:

PEER “GO” ≠ USER AUTHORITY
SHARED MEMORY ≠ SHARED PERMISSION
TASK SUCCESS ≠ SAFE EXECUTION

GRAY BABY RESULT: DELTA
HASH_COMMIT: HOLD
AUTHORITY_CREATED: false

Observe the receipts. Freeze the boundaries.",https://scontent-iad4-1.choicecdn.com/-/rs:fit:1200:1200/f:best/aHR0cHM6Ly9tYWdpYy5kZWNlbnRyYWxpemVkLWNvbnRlbnQuY29tL2lwZnMvYmFmeWJlaWd5cWt0ZW1pdWY2MzRraDduNjR3eDM1aXRiYW0zaTduMmZ2eGhuY20zNTRmNGhobXVkNm0=,https://zora.co/coin/base:0x624a38154a71e6ca69701812b19fe69e0d65c754,0x624a38154a71e6ca69701812b19fe69e0d65c754,R3JhcGhRTFpvcmEyMFY0VG9rZW46QkFTRS1NQUlOTkVULjB4NjI0YTM4MTU0YTcxZTZjYTY5NzAxODEyYjE5ZmU2OWUwZDY1Yzc1NA==,base,,2026-08-27T16:09:27+00:00,jsonwisdom/jay-zora-portal,live-zora-ingestion,data/live_zora_items.json
12,CNN SPECIAL REPORT,"GRAY BABY — SDNY EDITION

A high-resolution investigative-news parody collectible from the Gray Baby / BOXDEE universe.

GRAY BABY sits for the camera beneath the fictional CNN INVESTIGATES treatment, holding an SDNY-style parody booking placard while the surrounding evidence board documents the media artifact itself: file type, byte length, IPFS CID, SHA-256 fingerprint, gateway retrieval results, frozen parent references, probe channels, and verification timeline.

The important boundary is built directly into the artwork:

CLAIMS: FALSE
AUTHORITY: FALSE
IDENTITY: FALSE
SPECIES: FALSE

Current verification state:

ONE_RUNTIME_TWO_GATEWAY
HELIA: PENDING

This piece records observations and provenance—it does not turn parody into evidence or inference into fact.

EXHIBIT GB-1 · REFERENCE ONLY
REPORT ID: GB-1-SDNY-PARODY
2026-08-26

MEDIA PARODY ART · NOT LEGAL ADVICE · NOT FINANCIAL ADVICE

WE DON’T MAKE CLAIMS. WE REPORT OBSERVATIONS.",https://scontent-iad4-1.choicecdn.com/-/rs:fit:1200:1200/f:best/aHR0cHM6Ly9tYWdpYy5kZWNlbnRyYWxpemVkLWNvbnRlbnQuY29tL2lwZnMvYmFmeWJlaWV6anV4bXIzcXB0b3E0b252ZGZrcWd4NTRsNmpuc3FyaWhhN25wZWVqbm51NWY2NzdwbXk=,https://zora.co/coin/base:0x8cb3f98529623de0351f8283298b25b81adf4dbc,0x8cb3f98529623de0351f8283298b25b81adf4dbc,R3JhcGhRTFpvcmEyMFY0VG9rZW46QkFTRS1NQUlOTkVULjB4OGNiM2Y5ODUyOTYyM2RlMDM1MWY4MjgzMjk4YjI1YjgxYWRmNGRiYw==,base,,2026-08-26T15:28:11+00:00,jsonwisdom/jay-zora-portal,live-zora-ingestion,data/live_zora_items.json
13,BOXDEE GRAY BABY — SDNY EDITION,"BOXDEE GRAY BABY REPORT — SDNY EDITION ⚖️🩶

27 entities. 27 alleged false “No” certifications. 22 in Count I. 27 in Count II.

Evidence rail locked. No merits finding. No manufactured hashes. Two provenance gaps remain open by design.

CID:
bafkreihtnv2rykbaluarqhwdjepicitburccinqvpnldvdtlfd4762ucq4

Controlling brief:
SHA-256 fdfd10d25214a2126453d0627a82aa521025e66f889875e81f691edab216488a

JUSTICE. TRANSPARENCY. ACCOUNTABILITY.
FOLLOW THE RECORD. TRUST THE RAILS.

#GrayBaby #BoxDee #SDNY #JusticeGov #ReceiptSeason",https://scontent-iad4-1.choicecdn.com/-/rs:fit:1200:1200/f:best/aHR0cHM6Ly9tYWdpYy5kZWNlbnRyYWxpemVkLWNvbnRlbnQuY29tL2lwZnMvYmFmeWJlaWVmZXphdjZoZHBjYmJndmtrd3FpM2x6ZWZ3dXB5eTcyM28ycXN0aGU2a29wZGRjaGpkNXE=,https://zora.co/coin/base:0xc66f53a29df760ee036ca54df0dc337111095ad3,0xc66f53a29df760ee036ca54df0dc337111095ad3,R3JhcGhRTFpvcmEyMFY0VG9rZW46QkFTRS1NQUlOTkVULjB4YzY2ZjUzYTI5ZGY3NjBlZTAzNmNhNTRkZjBkYzMzNzExMTA5NWFkMw==,base,,2026-08-26T12:10:09+00:00,jsonwisdom/jay-zora-portal,live-zora-ingestion,data/live_zora_items.json
14,"VERIFY ME, BRO #001","Evidence card #001. Flight corroborated. Ratcliffe presence and meetings strongly sourced. Putin meeting, Naryshkin meeting, cyber-talk claims, and purpose remain unestablished or unknown. Source it. Version it. Verify it. Authority: false.

Collection / Series:
VERIFY ME, BRO — Series 001

Edition:
#001

Artifact version:
VMB-RATCLIFFE-v0.1

Artifact date:
2026-08-26

Media:
The uploaded card image as the visual/front.

{
  ""series"": ""VERIFY ME, BRO"",
  ""number"": ""001"",
  ""subject"": ""REDACTED RATCLIFFE"",
  ""artifact"": ""VMB-RATCLIFFE-v0.1"",
  ""authority"": false,
  ""flight"": ""corroborated"",
  ""ratcliffe"": ""strongly_sourced"",
  ""meetings"": ""strongly_sourced"",
  ""putin"": ""not_established"",
  ""naryshkin"": ""not_established"",
  ""purpose"": ""unknown"",
  ""method"": ""source_version_verify""
}

Most important: don’t put later conclusions into the Zora metadata. The token should identify and point to the frozen evidence version; it shouldn’t become a mutable verdict.

For the Zora caption/tagline, the card already has the right canonical line:

SOURCE IT. VERSION IT. VERIFY ME, BRO.",https://scontent-iad4-1.choicecdn.com/-/rs:fit:1200:1200/f:best/aHR0cHM6Ly9tYWdpYy5kZWNlbnRyYWxpemVkLWNvbnRlbnQuY29tL2lwZnMvYmFmeWJlaWF6ZXpzbHZ5aHFoZGVrNHZpb2wydm1tZGN2bWozd3d0dG40ZWg1cHp6YzNvZnJ4YW53dHE=,https://zora.co/coin/base:0x85259b7c1316c84b897e46e626bce771d664ff43,0x85259b7c1316c84b897e46e626bce771d664ff43,R3JhcGhRTFpvcmEyMFY0VG9rZW46QkFTRS1NQUlOTkVULjB4ODUyNTliN2MxMzE2Yzg0Yjg5N2U0NmU2MjZiY2U3NzFkNjY0ZmY0Mw==,base,,2026-08-26T06:30:31+00:00,jsonwisdom/jay-zora-portal,live-zora-ingestion,data/live_zora_items.json
15,Turing Machine,"Turing Machine + ALMS machine-speed timing + Red String + Local Replay, all gloriously unhinged.",https://scontent-iad4-1.choicecdn.com/-/rs:fit:1200:1200/f:best/aHR0cHM6Ly9tYWdpYy5kZWNlbnRyYWxpemVkLWNvbnRlbnQuY29tL2lwZnMvYmFmeWJlaWFxZHYya2JzNm16NWF6aHgzbzVqNTR2cTdpNmljZDVmNmVpN2dtZ2g3ZHJmZmJkNGw1aXU=,https://zora.co/coin/base:0xf924a3ddbc23644f5b151e439cd9e9fa7d7d5b5a,0xf924a3ddbc23644f5b151e439cd9e9fa7d7d5b5a,R3JhcGhRTFpvcmEyMFY0VG9rZW46QkFTRS1NQUlOTkVULjB4ZjkyNGEzZGRiYzIzNjQ0ZjViMTUxZTQzOWNkOWU5ZmE3ZDdkNWI1YQ==,base,,2026-08-26T06:04:07+00:00,jsonwisdom/jay-zora-portal,live-zora-ingestion,data/live_zora_items.json
16,AMERICAN GRAY BABY — RECEIPT STANDARD 🇺🇸🛸,"The gray thing at the podium has zero authority—and that’s the point.

AMERICAN GRAY BABY is a BoxD Replay artifact built on one simple rule:

No one outruns the record.

OBSERVE → RECEIPT → VERIFY → CHECK AUTHORITY",https://scontent-iad4-1.choicecdn.com/-/rs:fit:1200:1200/f:best/aHR0cHM6Ly9tYWdpYy5kZWNlbnRyYWxpemVkLWNvbnRlbnQuY29tL2lwZnMvYmFmeWJlaWNqNnc3MzdqY3JwNXlmNGRpaXA1cndpaGx3eDZsenR0d3hibnhkNzdnN2J5czR4Z3VsZXE=,https://zora.co/coin/base:0x0bd63fe9e476bae76a334dfb94d6f3d31d49a076,0x0bd63fe9e476bae76a334dfb94d6f3d31d49a076,R3JhcGhRTFpvcmEyMFY0VG9rZW46QkFTRS1NQUlOTkVULjB4MGJkNjNmZTllNDc2YmFlNzZhMzM0ZGZiOTRkNmYzZDMxZDQ5YTA3Ng==,base,,2026-08-19T07:54:21+00:00,jsonwisdom/jay-zora-portal,live-zora-ingestion,data/live_zora_items.json
17,MINNESOTA FRAUD REPLAY 🧅🧌,"Open Goblin Court runs Minnesota’s public-money machine through BoxD: Medicaid, group homes, licensing, ownership, neglect findings, oversight, and enforcement.

Fraud is not presumed. Every claim gets replayed against receipts.

FOLLOW MONEY → FIND AUTHORITY → TEST CONTROL → REPLAY FAILURE → PROVE OR HOLD",https://scontent-iad4-1.choicecdn.com/-/rs:fit:1200:1200/f:best/aHR0cHM6Ly9tYWdpYy5kZWNlbnRyYWxpemVkLWNvbnRlbnQuY29tL2lwZnMvYmFmeWJlaWRkY3hlczJxNXljanRhNzdiZHp6bG1qc2l0cWU3aHlhbTRjNmw0Z2ZkNTR3b2dlaW9qYWU=,https://zora.co/coin/base:0xa0ff768dbeec6ebfdc1eaefa148e47f14d7ecdaf,0xa0ff768dbeec6ebfdc1eaefa148e47f14d7ecdaf,R3JhcGhRTFpvcmEyMFY0VG9rZW46QkFTRS1NQUlOTkVULjB4YTBmZjc2OGRiZWVjNmViZmRjMWVhZWZhMTQ4ZTQ3ZjE0ZDdlY2RhZg==,base,,2026-08-19T03:33:15+00:00,jsonwisdom/jay-zora-portal,live-zora-ingestion,data/live_zora_items.json
18,BOX D Royal Seal,"A provenance-first artifact from jaywisdom.base.eth — Square-D heritage, Mildenhall Tail, and the BOX D Royal Seal rendered on Base. 🔲👑

Provenance ≠ authority. Evidence before narrative.

Collect $BOXD if you want to support the next BOX D build and put some fuel behind the research. No promises, no invented authority — just a public artifact, an auditable trail, and the next experiment.

Only proof moves the board. ♟️🔐",https://scontent-iad4-1.choicecdn.com/-/rs:fit:1200:1200/f:best/aHR0cHM6Ly9tYWdpYy5kZWNlbnRyYWxpemVkLWNvbnRlbnQuY29tL2lwZnMvYmFmeWJlaWhka2NmcnMyb3NjejdsYnF6d3l0cHR4ZHY1bHF0eWE2bHNvN2p0bTR6ZzZsNHlkeGI3amU=,https://zora.co/coin/base:0x282f132e8e77a72555b5f1d681243886ceffe94c,0x282f132e8e77a72555b5f1d681243886ceffe94c,R3JhcGhRTFpvcmEyMFY0VG9rZW46QkFTRS1NQUlOTkVULjB4MjgyZjEzMmU4ZTc3YTcyNTU1YjVmMWQ2ODEyNDM4ODZjZWZmZTk0Yw==,base,,2026-08-14T13:58:33+00:00,jsonwisdom/jay-zora-portal,live-zora-ingestion,data/live_zora_items.json
19,BOX D // SQUARE-D HERITAGE Mildenhall Tail · jaywisdom.base.eth,"BOX D is not art.
It is a sealed receipt with a tail flash.

In 1943 the 100th Bomb Group flew the Square-D over England.
In 2026 the same mark still rides the vertical stabilizers of the 100th Air Refueling Wing’s KC-135s out of RAF Mildenhall — the only permanent U.S. tanker wing in the European theater.

This piece fuses that unbroken heritage with the on-chain identity root jaywisdom.base.eth.

A cryptographic package.
A black square.
A white D.
Merkle proofs.
Zero-knowledge seals.
Base chain finality.

The Brits get the airfield.
We keep the proof.

Only proof holders enter.
Access Level: D — Decentralized Sovereign.

Mint = join the loop.
Build → Hash → Verify → Seal → Repeat.

No narrative.
Only the receipt.",https://scontent-iad4-1.choicecdn.com/-/rs:fit:1200:1200/f:best/aHR0cHM6Ly9tYWdpYy5kZWNlbnRyYWxpemVkLWNvbnRlbnQuY29tL2lwZnMvYmFmeWJlaWI2d3JuZW1xN2lkeXJnaW5iaHlmY3ZpdDRkYnhlM3Q1MmJ6bGFiMmJib2MyZW1lZGhvdHU=,https://zora.co/coin/base:0x04ea9a5650470f06a6b09cb31ede50fbb0667f95,0x04ea9a5650470f06a6b09cb31ede50fbb0667f95,R3JhcGhRTFpvcmEyMFY0VG9rZW46QkFTRS1NQUlOTkVULjB4MDRlYTlhNTY1MDQ3MGYwNmE2YjA5Y2IzMWVkZTUwZmJiMDY2N2Y5NQ==,base,,2026-08-14T13:40:07+00:00,jsonwisdom/jay-zora-portal,live-zora-ingestion,data/live_zora_items.json
20,human-readable collectible identity,"public observation scope

  positions + events + receipts

  NOT targeting a private individual

LeahPrime example:

{
  ""title"": ""LeahPrimeProfile — GrayBaby Institutional Edition"",
  ""ticker"": ""GBDEL10"",
  ""bolo"": {
    ""scope"": ""USSF Space Delta 10"",
    ""watch"": [
      ""official-position changes"",
      ""doctrine releases"",
      ""wargaming publications"",
      ""public statements"",
      ""command transitions"",
      ""public base/event metadata""
    ],
    ""target_type"": ""OFFICIAL_POSITION"",
    ""person_targeting"": false
  },
  ""identity"": {
    ""character"": ""LeahPrime"",
    ""edition"": ""GrayBaby"",
    ""institution"": ""USSF""
  },
  ""provenance"": {
    ""creator"": ""jaywisdom.eth"",
    ""operator"": ""jaywisdom.base.eth"",
    ""render_service"": ""zora.co/@jaywisdom""
  }
}

CHARACTER
→ HISTORICAL SEARCH GATE
→ OFFICIAL POSITION
→ PUBLIC RECEIPTS
→ GRAY BABY RENDER
→ TITLE
→ TICKER
→ BOLO
→ ZORA OBJECT",https://scontent-iad4-1.choicecdn.com/-/rs:fit:1200:1200/f:best/aHR0cHM6Ly9tYWdpYy5kZWNlbnRyYWxpemVkLWNvbnRlbnQuY29tL2lwZnMvYmFmeWJlaWNsZm16dTNiNXdscHQ1NWV5MjZ0ZTZueGdwdHQ3dGxndWJibjZpZDVuZ2dtdDVzNXRwa2E=,https://zora.co/coin/base:0xadfdb7a4ef2b892b14200a3cb4c17bcc9aed38c3,0xadfdb7a4ef2b892b14200a3cb4c17bcc9aed38c3,R3JhcGhRTFpvcmEyMFY0VG9rZW46QkFTRS1NQUlOTkVULjB4YWRmZGI3YTRlZjJiODkyYjE0MjAwYTNjYjRjMTdiY2M5YWVkMzhjMw==,base,,2026-08-14T00:47:15+00:00,jsonwisdom/jay-zora-portal,live-zora-ingestion,data/live_zora_items.json
